enno_msgid,sg_rule,eReason,sReason,enno_total_message,enno_total_case,enno_total_false,real_false,real_false_case,false_report_ratio,s_total_message,s_total_case,s_total_miss,real_miss,real_miss_case,miss_report_ratio,eReasonDiffStatistics,sReasonDiffStatistics,reasonDiffStatistics,eReasonIssueStatistics,sReasonIssueStatistics,reasonIssueStatistics
CMD-1002,SGDCSTX-003,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
CMD-1005,SGDCSTX-004,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
CMD-1005,SGDCSTX_011,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
CMD-1005,SGDC_qualifier09,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
CMD-1005,SGDC_qualifier15,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
CMD-1006,SGDCSTX-004,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
CMD-1006,SGDCSTX_008,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
CMD-1006,SGDCSTX_019,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
CMD-1006,SGDC_qualifier15,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
CMD-1007,SGDCSTX_008,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
CMD-1007,checkSGDC_nottogether01,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
CMD-1016,SGDCSTX_008,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
CMD-1016,SGDCSTX_011,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
CMD-2085,SGDCSTX_007,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
ReadFailed,SGDCSTX_019,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
ReadFailed,SGDCSTX_020,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
CmdInvalid,SGDCSTX_002,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
CmdNoOptionInput,SGDC_cdc_false_path05,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
CmdOptionValueInvalid,SGDCSTX_008,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
CmdOptionValueInvalid,SGDC_reset_synchronizer04,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
CmdOptionValueInvalid,SGDC_reset_synchronizer06,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
CmdOptionValueInvalid,SGDC_reset_synchronizer07,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
CmdOptionValueInvalid,FalsePathSetup,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
CmdOptionValueInvalid,SGDC_cdc_false_path06,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
CmdOptionValueInvalid,SGDC_cdc_false_path07,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
CmdOptionValueInvalid,SGDC_qualifier02a,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
CmdOptionValueInvalid,SGDC_qualifier02c,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
CmdOptionValueInvalid,SGDC_qualifier03a,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
CmdOptionValueInvalid,SGDC_qualifier03c,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
CmdEndingDoubleQuoteMissing,SGDCSTX_009,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
CmdOverride,SGDCWRN_123,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
CmdOverride,SGDC_reset_synchronizer10,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
OptionDependencyError,checkSGDC_together02,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
OptionDependencyError,SGDCSTX_008,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
MultiArgsInvalid,SGDCSTX_012,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
SetupClkPropagated,Propagate_Clocks,,,4434,2225,9,0,0,0.00%,5585,2375,122,0,0,0.00%,"Diff104-bug23-wildcard: msg: 2, case: 1
Diff167-synth34-logic_optimization: msg: 2, case: 2
Diff132-synth27-clock_info01: msg: 2, case: 2
Diff76-diff14-clock_generate: msg: 1, case: 1
Diff34-synth7-shift_register: msg: 1, case: 1
Diff23-Lint_error-comb_loop: msg: 1, case: 1","Diff84-synth16-unsynthesizable: msg: 1, case: 1
Diff81-synth15-unsynthesizable: msg: 23, case: 2
Diff37-synth9-nmos_pmos: msg: 1, case: 1
Diff127-synth24-unsynthesizable-lint_error_SYNTH_149: msg: 1, case: 1
Diff130-synth- unsynthesizable-SYNTH_162: msg: 1, case: 1
Diff500-built_in-019-??-Diff500-bug-built_in-019: msg: 2, case: 1
Diff197-diff39-SGDC_waive_message: msg: 8, case: 4
Diff125-diff20-logic_optimization: msg: 10, case: 10
Diff128-synth25-unsynthesizable-lint_error_STARC05-2.5.1.5a: msg: 14, case: 8
Diff167-synth34-logic_optimization: msg: 2, case: 2
Diff193-diff36-SGDC2SDC: msg: 16, case: 1
Diff194-diff37-SGDC2SDC: msg: 3, case: 2
Diff22-Lint_error: msg: 2, case: 1
Diff132-synth27-clock_info01: msg: 2, case: 2
Diff23-Lint_error-comb_loop: msg: 3, case: 3
Diff34-synth7-shift_register-??-Diff192-diff35-logic_optimization: msg: 1, case: 1
Diff125-diff20-logic_optimization-??-Diff34-synth7-shift_register: msg: 6, case: 6
Diff104-bug23-wildcard: msg: 6, case: 2
Diff192-diff35-logic_optimization: msg: 3, case: 2
Diff76-diff14-clock_generate: msg: 2, case: 1
Diff34-synth7-shift_register: msg: 13, case: 13
Diff131-bug33-clocktietoconst-logic_optimization: msg: 2, case: 1","Diff84-synth16-unsynthesizable: msg: 1, case: 1
Diff81-synth15-unsynthesizable: msg: 23, case: 2
Diff37-synth9-nmos_pmos: msg: 1, case: 1
Diff127-synth24-unsynthesizable-lint_error_SYNTH_149: msg: 1, case: 1
Diff130-synth- unsynthesizable-SYNTH_162: msg: 1, case: 1
Diff500-built_in-019-??-Diff500-bug-built_in-019: msg: 2, case: 1
Diff197-diff39-SGDC_waive_message: msg: 8, case: 4
Diff104-bug23-wildcard: msg: 8, case: 3
Diff125-diff20-logic_optimization: msg: 10, case: 10
Diff128-synth25-unsynthesizable-lint_error_STARC05-2.5.1.5a: msg: 14, case: 8
Diff167-synth34-logic_optimization: msg: 4, case: 2
Diff193-diff36-SGDC2SDC: msg: 16, case: 1
Diff194-diff37-SGDC2SDC: msg: 3, case: 2
Diff22-Lint_error: msg: 2, case: 1
Diff132-synth27-clock_info01: msg: 4, case: 2
Diff23-Lint_error-comb_loop: msg: 4, case: 3
Diff34-synth7-shift_register-??-Diff192-diff35-logic_optimization: msg: 1, case: 1
Diff125-diff20-logic_optimization-??-Diff34-synth7-shift_register: msg: 6, case: 6
Diff192-diff35-logic_optimization: msg: 3, case: 2
Diff76-diff14-clock_generate: msg: 3, case: 1
Diff34-synth7-shift_register: msg: 14, case: 13
Diff131-bug33-clocktietoconst-logic_optimization: msg: 2, case: 1",,,
